SEGMENTO;TARIFARIO;DETALLE;SEMI;BALANCIN;CHASIS;UP 3500;UP 1500;PICKUP
OP BROKER MONSANTO;RANGO KM;01-50;$ 11.328;$ 0;$ 8.079;$ 0;$ 0;$ 6.401
OP BROKER MONSANTO;RANGO KM;51-100;$ 15.072;$ 0;$ 10.550;$ 0;$ 0;$ 8.440
OP BROKER MONSANTO;RANGO KM;101-150;$ 19.458;$ 0;$ 13.620;$ 0;$ 0;$ 10.896
OP BROKER MONSANTO;RANGO KM;151-200;$ 26.709;$ 0;$ 18.696;$ 0;$ 0;$ 14.957
OP BROKER MONSANTO;RANGO KM;201-250;$ 32.094;$ 0;$ 22.466;$ 0;$ 0;$ 17.973
OP BROKER MONSANTO;RANGO KM;251-300;$ 36.741;$ 0;$ 25.719;$ 0;$ 0;$ 20.575
OP BROKER MONSANTO;RANGO KM;301-350;$ 40.184;$ 0;$ 28.129;$ 0;$ 0;$ 22.503
OP BROKER MONSANTO;RANGO KM;351-400;$ 44.658;$ 0;$ 31.261;$ 0;$ 0;$ 25.008
OP BROKER MONSANTO;RANGO KM;401-450;$ 49.116;$ 0;$ 34.381;$ 0;$ 0;$ 27.505
OP BROKER MONSANTO;RANGO KM;451-500;$ 53.116;$ 0;$ 37.366;$ 0;$ 0;$ 29.893
OP BROKER MONSANTO;RANGO KM;501-550;$ 57.510;$ 0;$ 41.003;$ 0;$ 0;$ 32.802
OP BROKER MONSANTO;RANGO KM;551-600;$ 62.015;$ 0;$ 44.770;$ 0;$ 0;$ 35.816
OP BROKER MONSANTO;RANGO KM;601-650;$ 66.468;$ 0;$ 48.501;$ 0;$ 0;$ 38.801
OP BROKER MONSANTO;RANGO KM;651-700;$ 70.591;$ 0;$ 51.964;$ 0;$ 0;$ 41.571
OP BROKER MONSANTO;RANGO KM;701-750;$ 75.336;$ 0;$ 55.859;$ 0;$ 0;$ 44.687
OP BROKER MONSANTO;RANGO KM;751-800;$ 79.917;$ 0;$ 59.647;$ 0;$ 0;$ 47.717
OP BROKER MONSANTO;RANGO KM;801-850;$ 84.709;$ 0;$ 63.649;$ 0;$ 0;$ 50.919
OP BROKER MONSANTO;RANGO KM;851-900;$ 89.376;$ 0;$ 67.545;$ 0;$ 0;$ 54.036
OP BROKER MONSANTO;RANGO KM;901-950;$ 94.141;$ 0;$ 71.440;$ 0;$ 0;$ 57.152
OP BROKER MONSANTO;RANGO KM;951-1000;$ 98.856;$ 0;$ 75.336;$ 0;$ 0;$ 60.268
OP BROKER MONSANTO;RANGO KM;1001-1050;$ 103.425;$ 0;$ 79.159;$ 0;$ 0;$ 63.327
OP BROKER MONSANTO;RANGO KM;1051-1100;$ 108.128;$ 0;$ 83.048;$ 0;$ 0;$ 66.438
OP BROKER MONSANTO;RANGO KM;1101-1150;$ 112.831;$ 0;$ 86.936;$ 0;$ 0;$ 69.549
OP BROKER MONSANTO;RANGO KM;1151-1200;$ 117.534;$ 0;$ 90.824;$ 0;$ 0;$ 72.659
OP BROKER MONSANTO;RANGO KM;1201-1250;$ 122.237;$ 0;$ 94.713;$ 0;$ 0;$ 75.770
OP BROKER MONSANTO;RANGO KM;1251-1300;$ 126.940;$ 0;$ 98.601;$ 0;$ 0;$ 78.881
OP BROKER MONSANTO;RANGO KM;1301-1350;$ 131.531;$ 0;$ 102.402;$ 0;$ 0;$ 81.922
OP BROKER MONSANTO;RANGO KM;1351-1400;$ 136.230;$ 0;$ 106.287;$ 0;$ 0;$ 85.030
OP BROKER MONSANTO;RANGO KM;1401-1450;$ 140.930;$ 0;$ 110.172;$ 0;$ 0;$ 88.138
OP BROKER MONSANTO;RANGO KM;1451-1500;$ 145.628;$ 0;$ 114.057;$ 0;$ 0;$ 91.246
OP BROKER MONSANTO;RANGO KM;1501-1550;$ 150.223;$ 0;$ 117.895;$ 0;$ 0;$ 94.316
OP BROKER MONSANTO;RANGO KM;1551-1600;$ 154.895;$ 0;$ 121.758;$ 0;$ 0;$ 97.407
OP BROKER MONSANTO;RANGO KM;1601-1650;$ 159.568;$ 0;$ 125.621;$ 0;$ 0;$ 100.497
OP BROKER MONSANTO;RANGO KM;1651-1700;$ 164.240;$ 0;$ 129.484;$ 0;$ 0;$ 103.587
OP BROKER MONSANTO;RANGO KM;1701-1750;$ 168.913;$ 0;$ 133.348;$ 0;$ 0;$ 106.678
OP BROKER MONSANTO;RANGO KM;1751-1800;$ 173.585;$ 0;$ 137.211;$ 0;$ 0;$ 109.769
OP BROKER MONSANTO;RANGO KM;1801-1850;$ 178.258;$ 0;$ 141.074;$ 0;$ 0;$ 112.859
OP BROKER MONSANTO;RANGO KM;1851-1900;$ 182.930;$ 0;$ 144.937;$ 0;$ 0;$ 115.950
OP BROKER MONSANTO;RANGO KM;1901-1950;$ 187.603;$ 0;$ 148.800;$ 0;$ 0;$ 119.040
OP BROKER MONSANTO;RANGO KM;1951-2000;$ 192.275;$ 0;$ 152.663;$ 0;$ 0;$ 122.131
OP BROKER MONSANTO;RANGO KM;2001-2050;$ 197.033;$ 0;$ 156.537;$ 0;$ 0;$ 125.229
OP BROKER MONSANTO;RANGO KM;2051-2100;$ 201.898;$ 0;$ 160.402;$ 0;$ 0;$ 128.321
OP BROKER MONSANTO;RANGO KM;2101-2150;$ 206.763;$ 0;$ 164.267;$ 0;$ 0;$ 131.413
OP BROKER MONSANTO;RANGO KM;2151-2200;$ 211.628;$ 0;$ 168.132;$ 0;$ 0;$ 134.506
OP BROKER MONSANTO;RANGO KM;2201-2250;$ 216.493;$ 0;$ 171.997;$ 0;$ 0;$ 137.598
OP BROKER MONSANTO;RANGO KM;2251-2300;$ 221.358;$ 0;$ 175.862;$ 0;$ 0;$ 140.690
OP BROKER MONSANTO;RANGO KM;2301-2350;$ 226.223;$ 0;$ 179.727;$ 0;$ 0;$ 143.782
OP BROKER MONSANTO;RANGO KM;2351-2400;$ 231.088;$ 0;$ 183.592;$ 0;$ 0;$ 146.874
OP BROKER MONSANTO;RANGO KM;2401-2450;$ 235.953;$ 0;$ 187.457;$ 0;$ 0;$ 149.966
OP BROKER MONSANTO;RANGO KM;2451-2500;$ 240.818;$ 0;$ 191.322;$ 0;$ 0;$ 153.058
OP BROKER MONSANTO;RANGO KM;2501-2550;$ 245.683;$ 0;$ 195.188;$ 0;$ 0;$ 156.150
OP BROKER MONSANTO;RANGO KM;2551-2600;$ 250.548;$ 0;$ 199.053;$ 0;$ 0;$ 159.242
OP BROKER MONSANTO;RANGO KM;2601-2650;$ 255.413;$ 0;$ 202.918;$ 0;$ 0;$ 162.334
